ID;"""Nome""";"""Empreendedor""";"""CPF_CNPJ""";"""UF""";"""Município""";"""Dano Potencial Associado - DPA""";"""Inserido na PNSB""";"""Nível de Emergência""";"""Tipo de Barragem de Mineração""";"""A Barragem de Mineração possui outra estrutura de mineração interna selante de reservatório""";"""Quantidade Diques Internos""";"""Quantidade Diques Selantes""";"""A barragem de mineração possui Back Up Dam""";"""Situação Operacional""";"""Estrutura com o Objetivo de Contenção""";"""A Barragem de Mineração está dentro da Área do Processo ANM ou da Área de Servidão""";"""Barragem de mineração é alimentado por usina""";"""Usinas""";"""Minério principal presente no reservatório""";;
8522;"""Dique da Oficina II""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8523;"""Dique Flotação""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Não""";"""-""";"""Minério de Ferro""";;
8526;"""Dique Intermediário""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8527;"""Dique Leste I""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8528;"""Dique Leste II""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8529;"""Dique Leste III""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8530;"""Dique Mazano""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8532;"""Dique da Mineira""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8533;"""Dique BIV-3 - Dique Hércules""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8540;"""Barramento 1 """;"""MINERADORA PEDRIX LTDA""";"""01290096000132""";"""SP""";"""CAIEIRAS""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
